"experiment","ensemble","model","year","TXx"
"historical","r12i1p1f1","CanESM5",1991,80.699972
"historical","r12i1p1f1","CanESM5",1992,79.026368
"historical","r12i1p1f1","CanESM5",1993,92.411384
"historical","r12i1p1f1","CanESM5",1994,77.234828
"historical","r12i1p1f1","CanESM5",1995,82.9072760000001
"historical","r12i1p1f1","CanESM5",1996,87.365912
"historical","r12i1p1f1","CanESM5",1997,94.1128520000001
"historical","r12i1p1f1","CanESM5",1998,74.588828
"historical","r12i1p1f1","CanESM5",1999,84.04106
"historical","r12i1p1f1","CanESM5",2000,88.84139
"historical","r12i1p1f1","CanESM5",2001,83.64722
"historical","r12i1p1f1","CanESM5",2002,84.3334160000001
"historical","r12i1p1f1","CanESM5",2003,81.3212960000001
"historical","r12i1p1f1","CanESM5",2004,81.72824
"historical","r12i1p1f1","CanESM5",2005,82.6249280000001
"historical","r12i1p1f1","CanESM5",2006,92.127884
"historical","r12i1p1f1","CanESM5",2007,93.5612240000001
"historical","r12i1p1f1","CanESM5",2008,81.261248
"historical","r12i1p1f1","CanESM5",2009,88.344464
"historical","r12i1p1f1","CanESM5",2010,84.0922160000001
"historical","r12i1p1f1","CanESM5",2011,86.1791000000001
"historical","r12i1p1f1","CanESM5",2012,86.169506
"historical","r12i1p1f1","CanESM5",2013,90.1254740000001
"historical","r12i1p1f1","CanESM5",2014,83.0568200000001
